filename, language, HTML, CSS, JavaScript, JSON, SCSS, XML, Markdown, comment, blank, total
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-fixedcolumns\css\fixedColumns.bootstrap4.min.css, CSS, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-fixedcolumns\js\dataTables.fixedColumns.js, JavaScript, 0, 0, 925, 0, 0, 0, 0, 508, 227, 1660
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-fixedcolumns\js\dataTables.fixedColumns.min.js, JavaScript, 0, 0, 31, 0, 0, 0, 0, 4, 1, 36
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-fixedcolumns\js\fixedColumns.bootstrap4.js, JavaScript, 0, 0, 26, 0, 0, 0, 0, 6, 6, 38
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-fixedcolumns\js\fixedColumns.bootstrap4.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-fixedheader\css\fixedHeader.bootstrap4.css, CSS, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-fixedheader\css\fixedHeader.bootstrap4.min.css, CSS, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-fixedheader\js\dataTables.fixedHeader.js, JavaScript, 0, 0, 447, 0, 0, 0, 0, 169, 111, 727
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-fixedheader\js\dataTables.fixedHeader.min.js, JavaScript, 0, 0, 14, 0, 0, 0, 0, 4, 1, 19
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-fixedheader\js\fixedHeader.bootstrap4.js, JavaScript, 0, 0, 26, 0, 0, 0, 0, 6, 6, 38
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-fixedheader\js\fixedHeader.bootstrap4.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-keytable\css\keyTable.bootstrap4.css, CSS, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-keytable\css\keyTable.bootstrap4.min.css, CSS, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-keytable\js\dataTables.keyTable.js, JavaScript, 0, 0, 744, 0, 0, 0, 0, 291, 210, 1245
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-keytable\js\dataTables.keyTable.min.js, JavaScript, 0, 0, 21, 0, 0, 0, 0, 4, 1, 26
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-keytable\js\keyTable.bootstrap4.js, JavaScript, 0, 0, 26, 0, 0, 0, 0, 6, 6, 38
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-keytable\js\keyTable.bootstrap4.min.js, JavaScript, 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-responsive\css\responsive.bootstrap4.css, CSS, 0, 178, 0, 0, 0, 0, 0, 0, 3, 181
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-responsive\css\responsive.bootstrap4.min.css, CSS, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-responsive\js\dataTables.responsive.js, JavaScript, 0, 0, 814, 0, 0, 0, 0, 377, 203, 1394
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-responsive\js\dataTables.responsive.min.js, JavaScript, 0, 0, 26, 0, 0, 0, 0, 4, 1, 31
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-responsive\js\responsive.bootstrap4.js, JavaScript, 0, 0, 67, 0, 0, 0, 0, 6, 13, 86
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-responsive\js\responsive.bootstrap4.min.js, JavaScript, 0, 0, 2, 0, 0, 0, 0, 4, 1, 7
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-rowgroup\css\rowGroup.bootstrap4.css, CSS, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-rowgroup\css\rowGroup.bootstrap4.min.css, CSS, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-rowgroup\js\dataTables.rowGroup.js, JavaScript, 0, 0, 249, 0, 0, 0, 0, 141, 83, 473
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-rowgroup\js\dataTables.rowGroup.min.js, JavaScript, 0, 0, 8, 0, 0, 0, 0, 4, 1, 13
g:\OneDrive - IZI Cloud\FPT\Sem04\7_Project\HTDShop\HTDShop\HTDShop\HTDShop-web\src\main\webapp\HTDManager\plugins\datatables-rowgroup\js\rowGroup.bootstrap4.js, JavaScript, 0, 0, 26, 0, 0, 0, 0, 6, 6, 38
